,pfy,mkval,bm_cut,f_cut,return,benchmark_ret,cum_return,cum_return_snp
19,2019-01-01,0.3,0.3,4,-0.11237517925999135,1.2232908264918314,3.8431810412924943,6.088057913082033
19,2019-01-01,0.3,0.3,5,-0.12538937801726902,1.2232908264918314,4.200014806274407,6.088057913082033
19,2019-01-01,0.3,0.3,6,-0.12434459868414063,1.2232908264918314,4.836955386871811,6.088057913082033
19,2019-01-01,0.3,0.3,7,-0.1449876340837089,1.2232908264918314,5.676482061651031,6.088057913082033
19,2019-01-01,0.3,0.3,8,-0.1423159079950718,1.2232908264918314,5.587225124328437,6.088057913082033
19,2019-01-01,0.3,0.3,9,-0.17141076463725993,1.2232908264918314,6.207750716999095,6.088057913082033
19,2019-01-01,0.3,0.35,4,-0.12103638904962663,1.2232908264918314,3.8960564608848447,6.088057913082033
19,2019-01-01,0.3,0.35,5,-0.13654844907427946,1.2232908264918314,4.207563086307105,6.088057913082033
19,2019-01-01,0.3,0.35,6,-0.1362269932903672,1.2232908264918314,4.779397722447823,6.088057913082033
19,2019-01-01,0.3,0.35,7,-0.15872079937636482,1.2232908264918314,5.651283899207117,6.088057913082033
19,2019-01-01,0.3,0.35,8,-0.15424713590497965,1.2232908264918314,5.208013810840999,6.088057913082033
19,2019-01-01,0.3,0.35,9,-0.23239147467226948,1.2232908264918314,5.275369212001075,6.088057913082033
19,2019-01-01,0.3,0.39999999999999997,4,-0.1359716185753633,1.2232908264918314,3.9130802106945177,6.088057913082033
19,2019-01-01,0.3,0.39999999999999997,5,-0.15022110219236695,1.2232908264918314,4.218103405371113,6.088057913082033
19,2019-01-01,0.3,0.39999999999999997,6,-0.1549038750007693,1.2232908264918314,4.779333827606641,6.088057913082033
19,2019-01-01,0.3,0.39999999999999997,7,-0.17766034666247518,1.2232908264918314,5.752146954737036,6.088057913082033
19,2019-01-01,0.3,0.39999999999999997,8,-0.17389259337032834,1.2232908264918314,5.453224464858065,6.088057913082033
19,2019-01-01,0.3,0.39999999999999997,9,-0.2540650569469899,1.2232908264918314,4.97493682100279,6.088057913082033
19,2019-01-01,0.3,0.44999999999999996,4,-0.14682209241785538,1.2232908264918314,3.8712925492394366,6.088057913082033
19,2019-01-01,0.3,0.44999999999999996,5,-0.16425835940699865,1.2232908264918314,4.153028239699255,6.088057913082033
19,2019-01-01,0.3,0.44999999999999996,6,-0.1683576996567442,1.2232908264918314,4.763738889713835,6.088057913082033
19,2019-01-01,0.3,0.44999999999999996,7,-0.1973699069095379,1.2232908264918314,5.6354426110434686,6.088057913082033
